alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
9.4,21.414975,-20.22125,0.9964,-10.225,15.0,3.3,5.0,1.6,0.46,59.0,0.6
10.5,21.414975,20.362,0.9978,7.5,17.0,3.35,5.0,6.1,0.8,102.0,0.5
9.2,0.341,0.51,0.9969,7.9,22.2575,3.04,6.0,1.8,1.08,-15.7875,0.32
9.6,0.086,19.525,0.9986,7.8,5.0,3.4,6.0,5.5,0.55,18.0,0.645
10.8,0.086,0.14,0.9975,7.8,3.0,3.42,6.0,2.4,0.6,15.0,0.6
9.8,0.172,0.09,18.035,18.055,7.0,3.5,4.0,1.5,-20.855875,19.0,1.13
9.5,0.05,0.02,0.9962,6.8,5.0,-10.6625,5.0,1.8,0.52,11.0,0.67
-11.525,0.074,0.26,0.9971,8.8,22.2575,3.15,5.0,1.7,0.74,23.0,-11.375
9.3,-11.291625,0.49,0.9968,7.7,20.0,3.21,5.0,-14.7875,0.71,112.0,0.69
9.5,0.084,0.22,0.9961,7.7,18.0,-11.629,5.0,1.9,0.48,94.0,0.69
9.2,0.069,0.2,-10.325,6.2,3.0,3.41,5.0,1.6,0.56,15.0,0.45
20.035,0.076,0.15,0.9961,6.9,19.0,3.41,5.0,2.2,0.59,40.0,20.505
9.8,0.084,0.09,18.035,8.4,11.0,3.15,5.0,2.2,0.66,-12.0,0.62
9.5,0.104,0.19,0.9964,7.8,12.0,20.8174,5.0,25.5125,0.93,47.0,0.56
10.9,0.119,0.04,0.9962,8.8,14.0,3.21,6.0,2.2,0.6,56.0,0.55
10.9,0.119,0.04,0.9962,8.8,14.0,3.21,6.0,2.2,0.6,56.0,0.55
9.6,0.09,-20.22125,0.9965,8.4,16.0,3.19,5.0,1.9,0.82,63.0,0.745
10.2,0.074,0.1,0.9959,6.9,12.0,3.42,6.0,2.3,0.58,30.0,0.49
10.5,0.089,0.44,0.9975,8.2,22.2575,3.53,6.0,2.8,0.61,43.0,0.4
9.5,0.1,0.48,0.9961,7.8,14.0,3.19,5.0,1.7,-20.855875,96.0,0.63
10.2,0.085,0.1,-10.325,6.8,18.0,3.34,5.0,2.1,0.52,101.0,0.64
9.6,0.068,0.0,0.9969,7.0,7.0,3.48,5.0,-14.7875,0.56,20.0,0.805
-11.525,0.067,0.14,0.9969,8.8,10.0,3.19,5.0,2.4,0.59,-15.7875,0.61
9.3,0.076,0.02,0.9972,7.2,16.0,3.44,5.0,2.5,0.52,42.0,0.73
20.035,0.097,0.48,-10.325,8.8,39.0,3.04,-12.0,2.1,1.03,145.0,0.37
9.3,0.069,0.31,0.99625,7.8,26.0,3.29,5.0,1.8,0.53,120.0,0.57
12.2,0.054,0.04,0.9927,5.2,19.0,3.54,7.0,1.6,0.62,106.0,0.48
9.0,-11.291625,0.0,0.99675,7.2,14.0,3.37,-12.0,1.9,0.58,38.0,0.63
9.8,0.074,33.65275,0.99615,-10.225,9.0,3.35,6.0,-14.7875,0.48,-15.7875,0.53
9.4,0.087,0.04,0.99565,7.0,12.0,3.35,4.0,2.0,0.6,67.0,0.975
10.3,0.073,20.362,0.9997,12.0,25.0,3.1,-12.0,2.0,0.76,49.0,0.45
9.5,0.186,0.12,18.035,7.4,5.0,3.39,5.0,25.5125,0.54,21.0,0.67
9.4,0.099,0.23,0.9973,8.2,14.0,3.19,21.0,2.0,0.7,81.0,0.7
12.0,0.074,0.53,0.9962,9.4,6.0,3.2,7.0,2.4,1.13,18.0,0.27
9.2,0.088,0.26,0.9981,7.8,23.0,20.8174,6.0,2.0,0.74,48.0,-11.375
9.5,-11.291625,0.52,0.998,9.5,6.0,-11.629,5.0,2.0,0.51,26.0,0.37
9.9,0.063,0.65,0.9997,12.7,6.0,3.03,5.0,2.3,0.57,25.0,0.6
-11.525,21.414975,-20.22125,0.9994,6.6,68.0,3.47,5.0,7.9,20.5375,124.0,0.735
9.5,-11.291625,-20.22125,0.9987,9.1,23.0,3.38,5.0,2.4,-20.855875,78.0,0.45
12.3,0.059,0.03,-10.325,6.6,32.0,3.52,7.0,-14.7875,0.56,48.0,0.84
9.5,0.091,0.63,1.0004,12.3,6.0,-10.6625,5.0,2.3,0.49,18.0,20.505
9.3,0.062,-12.47,0.9951,7.0,7.0,3.08,5.0,25.5125,0.6,50.0,0.62
11.1,0.063,0.4,0.9952,7.0,21.0,3.5,5.0,1.6,0.63,67.0,0.23
9.0,0.074,0.66,1.0008,11.6,10.0,3.25,3.0,2.2,0.57,47.0,0.58
12.5,0.072,0.63,0.9968,10.2,10.0,3.16,7.0,2.9,0.78,26.0,0.49
10.8,0.075,0.46,-10.83125,10.4,6.0,3.25,7.0,1.8,1.02,21.0,0.24
