hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,0,6,0,1,0.24,0.2879,0.81,0,18.26,13,16
0,0,6,0,1,0.24,0.2879,0.81,0,18.26,13,16
2,0,6,0,1,0.22,0.2727,0.8,0,5,27,32
3,0,13.8775,0,1,0.24,0.2879,0.75,0,,10,13
4,0,incons,0,1,0.24,0.2879,0.75,0,0,1,
5,0,,0,2,0.24,0.2576,0.75,0.0896,0,1,1
,0,6,0,1,0.22,0.2727,0.8,,2,0,2
7,,6,0,1,0.2,0.2576,0.86,0,1,26.7273625,3
8,0,6,0,3.5,0.24,0.2879,incons,0,1,7,8
9,0,6,0,1,0.32,0.3485,0.76,0,8,,14
incons,0,incons,0,1,0.38,0.3939,0.76,0.2537,12,24,36
11,0,6,-10.45,1,0.36,0.3333,0.81,0.2836,26,30,56
12,,6,0,1,0.42,0.4242,0.77,0.2836,29,55,incons
13,,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,,106
15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
,0,6,0,,0.42,5.2925,0.82,-9.925,41,52,93
17,0,6,0,2,0.44,,0.82,0.2836,,52,67
18,0,6,0,3,,0.4242,0.88,incons,9,26,35
19,0,6,0,3,0.42,0.4242,,0.2537,6,31,37
20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,
21,18.130475,-8.4625,0,incons,0.4,0.4091,0.87,0.194,3,31,34
22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,,28
-6.625,0,6,0,2,0.46,0.4545,,0.2985,15,24,39
incons,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17
1,0,0,-7.45,2,0.44,incons,0.94,0.2537,1,16,17
2,0,0,0,2,0.42,0.4242,1,0.2836,1,8,9
3,0,0,incons,2,0.46,0.4545,0.94,0.194,2,4,6
4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3
6,0,0,incons,incons,0.42,5.2925,0.77,0.2985,0,2,2
7,0,0,0,2,0.4,0.4091,0.76,,0,,1
,0,0,0,3,0.4,0.4091,0.71,0.2239,0,26.7273625,8
9,0,,0,2,0.38,0.3939,0.76,0.2239,,19,20
10,0,0,0,-2.5,0.36,0.3485,0.81,0.2239,7,,53
11,0,0,,2,0.36,incons,-4.178,0.2537,16,,70
12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93
13,0,0,,2,0.36,0.3485,0.66,0.1343,11,26.7273625,75
14,0,0,0,3,0.36,0.3485,,0.194,4,55,59
15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74
16,0,0,,3,0.34,0.3333,0.71,0.1642,9,67,76
17,,0,incons,1,0.34,0.3333,0.57,0.194,7,,65
18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,37.3936875
19,0,0,0,1,0.32,0.2879,,0.4478,-11.1,29,
20,0,0,0,1,3.4328,0.2727,0.39,,-11.1,17,22
21,18.130475,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31
22,0,0,0,1,0.24,incons,0.44,0.2985,0,9,9
23,0,0,0,3.5,0.22,0.2273,0.47,0.1642,0,8,8
0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5
1,0,1,1,,0.2,0.1667,0.44,0.4179,0,incons,2
,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1
5,0,1,-10.45,1,,0.1364,0.47,,0,3,3
20.375,0,1,1,1,0.14,0.1061,0.5,0.3881,0,26.7273625,30
7,0,1,1,1,3.4328,0.1364,0.5,0.194,1,63,64
8,0,13.8775,1,incons,0.14,,0.5,,1,153,154
9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88
10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44
11,0,1,1,-2.5,-2.388,0.1818,0.4,0.3284,incons,41,51
12,0,incons,1,1,0.22,0.2121,0.35,0.2985,,48,61
13,18.130475,1,1,1,0.24,0.2121,0.35,0.2836,8,53,37.3936875
14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,-22.3228125
15,0,1,incons,1,0.26,0.2424,11.9068,0.2537,14,58,72
16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,incons
17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,incons
18,incons,,1,1,0.24,,0.32,0.1045,9,148,
19,0,1,1,1,3.4328,0.2576,,incons,8,102,110
20,0,13.8775,1,incons,0.2,0.2273,0.47,0.1045,3,49,37.3936875
21,0,1,1,1,0.18,0.197,0.64,0.1343,,49,52
22,incons,1,,1,0.14,0.1515,0.69,0.1343,0,20,20
23,0,incons,1,1,0.18,0.2121,0.55,-9.925,1,11,12
0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5
1,0,2,1,-2.5,0.16,0.1818,0.59,0.1045,0,2,2
,0,2,1,1,0.14,0.1515,0.63,0.1343,18.26,1,1
4,0,2,,1,0.14,5.2925,0.63,0.0896,0,2,2
-12.625,0,2,1,1,0.12,0.1515,0.68,0.1045,,4,4
6,0,2,-10.45,1,0.12,,0.74,0.1045,0,36,36
7,,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94
8,18.130475,incons,1,1,,0.1515,0.69,0.1642,2,177,179
9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100
10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,incons
11,0,2,1,1,0.22,-3.4875,0.51,0.2985,7,-15.8789375,57
12,0,2,1,incons,0.22,0.2273,0.51,0.1642,12,66,78
13,0,-8.4625,1,1,0.24,0.2273,0.56,0.194,18,79,97
-6.625,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63
10.375,0,2,incons,1,0.28,0.2727,0.52,0.2537,17,48,-22.3228125
16,0,2,,1,0.3,-3.4875,0.49,0.2537,15,68,-22.3228125
17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212
18,0,2,1,1,0.26,0.2576,0.48,0.194,,179,182
19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112
20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54
21,0,2,1,1,0.22,,0.64,0,0,48,48
22,0,2,1,1,0.22,0.2576,,0.0896,1,34,35
23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11
0,incons,3,1,1,0.2,0.2576,,0,0,6,6
1,0,3,1,1,0.16,0.197,0.74,0.0896,0,,6
2,0,3,1,1,0.16,0.197,0.74,0.0896,,2,2
4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2
5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3
6,0,-8.4625,1,1,0.2,0.197,0.47,0.2239,incons,33,33
7,0,13.8775,1,1,0.18,0.1818,0.43,0.194,1,87,88
8,0,3,1,1,0.2,0.1818,0.4,0.2985,-11.1,incons,-22.3228125
-6.625,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115
-12.625,0,3,1,1,3.4328,0.197,0.37,-9.925,4,53,57
20.375,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46
12,0,3,1,1,0.26,0.2273,incons,0.3284,5,74,79
13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71
14,0,3,1,incons,0.3,0.2879,0.28,0.194,incons,52,62
15,0,3,1,3.5,0.3,0.2879,0.28,-9.925,7,55,62
16,0,3,-7.45,1,0.3,0.3182,0.28,0.0896,4,85,89
17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190
18,0,3,1,1,0.24,0.2424,,0.1343,3,,169
19,0,13.8775,1,1,0.24,0.2576,0.38,0.1045,-11.1,127,37.3936875
,0,3,,1,0.22,incons,0.47,0.1642,7,82,89
21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43
22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42
23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19
0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11
incons,0,4,1,1,3.4328,0.2273,0.64,0,0,4,4
2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2
4,-10.884125,4,1,2,0.16,0.197,0.64,0.0896,incons,1,1
,incons,4,1,2,0.14,0.1818,0.69,0.0896,0,4,incons
6,0,13.8775,1,2,0.14,0.1667,0.63,,0,36,36
,0,4,1,2,0.16,0.2273,0.59,0,0,95,95
8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219
9,0,13.8775,1,2,0.18,0.2424,0.51,0,6,116,122
10,0,,1,1,0.2,0.2576,0.47,0,3,42,45
11,0,13.8775,1,1,0.22,incons,0.44,0.0896,2,57,59
12,0,4,1,1,0.26,0.2879,0.35,0,6,,84
13,0,,1,incons,0.26,,0.35,0.1045,12,55,67
