atemp,casual,cnt,holiday,hr,hum,registered,temp,weathersit,weekday,windspeed,workingday
0.2879,18.259999999999998,16.0,0.0,0.0,0.81,13.0,0.24,1.0,6.0,0.0,0.0
0.2727,8.0,40.0,0.0,1.0,0.8,32.0,0.22,1.0,6.0,0.0,
0.2727,5.0,32.0,0.0,2.0,0.8,27.0,0.22,1.0,6.0,0.0,0.0
0.2879,,13.0,0.0,3.0,0.75,10.0,0.24,1.0,13.8775,0.0,0.0
0.2879,0.0,,0.0,4.0,0.75,1.0,0.24,1.0,incons,0.0,0.0
0.2576,0.0,1.0,0.0,5.0,0.75,1.0,0.24,2.0,,0.0896,0.0
0.2727,2.0,2.0,0.0,,0.8,0.0,0.22,1.0,6.0,,0.0
0.2576,1.0,3.0,,7.0,0.86,26.727362499999998,0.2,1.0,6.0,0.0,0.0
0.2879,1.0,8.0,0.0,8.0,incons,7.0,0.24,3.5,6.0,0.0,0.0
0.3485,8.0,14.0,0.0,9.0,0.76,,0.32,1.0,6.0,0.0,0.0
0.3939,12.0,36.0,0.0,incons,0.76,24.0,0.38,1.0,incons,0.2537,0.0
0.3333,26.0,56.0,0.0,11.0,0.81,30.0,0.36,1.0,6.0,0.2836,-10.450000000000001
0.4242,29.0,incons,,12.0,0.77,55.0,0.42,1.0,6.0,0.2836,0.0
0.4545,47.0,94.0,,13.0,0.72,47.0,0.46,2.0,6.0,0.2985,0.0
0.4545,35.0,106.0,0.0,14.0,0.72,,0.46,2.0,6.0,0.2836,0.0
0.4394,40.0,110.0,0.0,15.0,0.77,70.0,0.44,2.0,6.0,0.2985,0.0
5.2925,41.0,93.0,0.0,,0.82,52.0,0.42,,6.0,-9.925,0.0
,,67.0,0.0,17.0,0.82,52.0,0.44,2.0,6.0,0.2836,0.0
0.4242,9.0,35.0,0.0,18.0,0.88,26.0,,3.0,6.0,incons,0.0
0.4242,6.0,37.0,0.0,19.0,,31.0,0.42,3.0,6.0,0.2537,0.0
0.4091,11.0,,0.0,20.0,0.87,25.0,0.4,2.0,6.0,0.2537,0.0
0.4091,3.0,34.0,18.130475,21.0,0.87,31.0,0.4,incons,-8.462499999999999,0.194,0.0
0.4091,11.0,28.0,0.0,22.0,0.94,,0.4,2.0,6.0,0.2239,0.0
0.4545,15.0,39.0,0.0,-6.625,,24.0,0.46,2.0,6.0,0.2985,0.0
0.4545,4.0,17.0,0.0,incons,0.88,13.0,0.46,2.0,0.0,0.2985,0.0
incons,1.0,17.0,0.0,1.0,0.94,16.0,0.44,2.0,0.0,0.2537,-7.45
0.4242,1.0,9.0,0.0,2.0,1.0,8.0,0.42,2.0,0.0,0.2836,0.0
0.4545,2.0,6.0,0.0,3.0,0.94,4.0,0.46,2.0,0.0,0.194,incons
0.4545,2.0,3.0,0.0,4.0,0.94,1.0,0.46,2.0,0.0,0.194,0.0
5.2925,0.0,2.0,0.0,6.0,0.77,2.0,0.42,incons,0.0,0.2985,incons
0.4091,0.0,1.0,0.0,7.0,0.76,,0.4,2.0,0.0,,0.0
0.4091,0.0,8.0,0.0,,0.71,26.727362499999998,0.4,3.0,0.0,0.2239,0.0
0.3939,,20.0,0.0,9.0,0.76,19.0,0.38,2.0,,0.2239,0.0
0.3485,7.0,53.0,0.0,10.0,0.81,,0.36,-2.5,0.0,0.2239,0.0
incons,16.0,70.0,0.0,11.0,-4.177999999999999,,0.36,2.0,0.0,0.2537,
0.3333,20.0,93.0,0.0,12.0,0.66,73.0,0.36,2.0,0.0,0.2985,0.0
0.3485,11.0,75.0,0.0,13.0,0.66,26.727362499999998,0.36,2.0,0.0,0.1343,
0.3485,4.0,59.0,0.0,14.0,,55.0,0.36,3.0,0.0,0.194,0.0
0.3333,19.0,74.0,0.0,15.0,0.81,55.0,0.34,3.0,0.0,0.1642,0.0
0.3333,9.0,76.0,0.0,16.0,0.71,67.0,0.34,3.0,0.0,0.1642,
0.3333,7.0,65.0,,17.0,0.57,,0.34,1.0,0.0,0.194,incons
0.3333,10.0,37.3936875,0.0,18.0,0.46,43.0,0.36,2.0,0.0,0.3284,0.0
0.2879,-11.1,,0.0,19.0,,29.0,0.32,1.0,0.0,0.4478,0.0
0.2727,-11.1,22.0,0.0,20.0,0.39,17.0,3.4328000000000003,1.0,0.0,,0.0
0.2273,11.0,31.0,18.130475,21.0,0.44,20.0,0.26,1.0,0.0,0.3284,0.0
incons,0.0,9.0,0.0,22.0,0.44,9.0,0.24,1.0,0.0,0.2985,0.0
0.2273,0.0,8.0,0.0,23.0,0.47,8.0,0.22,3.5,0.0,0.1642,0.0
0.197,0.0,5.0,0.0,0.0,0.44,5.0,0.22,1.0,1.0,0.3582,1.0
0.1667,0.0,2.0,0.0,1.0,0.44,incons,0.2,,1.0,0.4179,1.0
0.1364,0.0,1.0,0.0,,0.47,1.0,0.16,1.0,1.0,0.3881,1.0
0.1364,0.0,3.0,0.0,5.0,0.47,3.0,,1.0,1.0,,-10.450000000000001
0.1061,0.0,30.0,0.0,20.375,0.5,26.727362499999998,0.14,1.0,1.0,0.3881,1.0
0.1364,1.0,64.0,0.0,7.0,0.5,63.0,3.4328000000000003,1.0,1.0,0.194,1.0
,1.0,154.0,0.0,8.0,0.5,153.0,0.14,incons,13.8775,,1.0
0.1364,7.0,88.0,0.0,9.0,0.43,81.0,0.16,1.0,1.0,0.3881,1.0
0.1667,11.0,44.0,0.0,10.0,0.43,33.0,0.18,1.0,1.0,0.2537,1.0
0.1818,incons,51.0,0.0,11.0,0.4,41.0,-2.388,-2.5,1.0,0.3284,1.0
0.2121,,61.0,0.0,12.0,0.35,48.0,0.22,1.0,incons,0.2985,1.0
0.2121,8.0,37.3936875,18.130475,13.0,0.35,53.0,0.24,1.0,1.0,0.2836,1.0
0.2424,11.0,-22.322812499999998,0.0,14.0,0.3,66.0,0.26,1.0,1.0,0.2836,1.0
0.2424,14.0,72.0,0.0,15.0,11.9068,58.0,0.26,1.0,1.0,0.2537,incons
0.2424,9.0,incons,0.0,16.0,0.3,67.0,0.26,1.0,1.0,0.2537,1.0
0.2273,11.0,incons,0.0,17.0,0.3,146.0,0.24,1.0,1.0,0.2239,1.0
,9.0,,incons,18.0,0.32,148.0,0.24,1.0,,0.1045,1.0
0.2576,8.0,110.0,0.0,19.0,,102.0,3.4328000000000003,1.0,1.0,incons,1.0
0.2273,3.0,37.3936875,0.0,20.0,0.47,49.0,0.2,incons,13.8775,0.1045,1.0
0.197,,52.0,0.0,21.0,0.64,49.0,0.18,1.0,1.0,0.1343,1.0
0.1515,0.0,20.0,incons,22.0,0.69,20.0,0.14,1.0,1.0,0.1343,
