alcalinity_of_ash,alcohol,ash,color_intensity,flavanoids,hue,magnesium,malic_acid,nonflavanoid_phenols,diluted_wines,proanthocyanins,proline,total_phenols
15.6,,2.43,5.64,3.06,1.04,127,0.74,0.28,3.92,2.29,1065,2.8
11.2,,,4.38,2.76,1.05,100,1.78,0.26,3.4,1.28,1050,2.65
18.6,,2.67,5.68,3.24,1.03,101,0.74,0.3,3.17,2.81,1185,2.8
16.8,,,7.8,3.49,0.86,113,1.95,0.24,3.45,2.18,1480,3.85
21,,2.87,4.32,2.69,1.04,118,0.74,0.39,2.93,1.82,735,2.8
15.2,,,6.75,3.39,1.05,112,1.76,0.34,2.85,1.97,1450,3.27
14.6,,2.45,5.25,2.52,1.02,96,0.74,0.3,3.58,1.98,1290,2.5
17.6,,,5.05,2.51,1.06,121,2.15,0.31,3.58,1.25,1295,2.6
14,,2.17,5.2,2.98,1.08,97,0.74,0.29,2.85,1.98,1045,2.8
16,,,7.22,3.15,1.01,98,1.35,0.22,3.55,1.85,1045,2.98
,14.1,2.3,5.75,,1.25,,2.16,0.22,3.17,2.38,1510,
,14.12,2.32,5,,1.17,,1.48,0.26,2.82,1.57,1280,
,13.75,2.41,5.6,,1.15,,1.73,0.29,2.9,1.81,1320,
11.4,14.75,2.39,5.4,3.69,1.25,91,1.73,0.43,2.73,2.81,1150,3.1
12,14.38,2.38,7.5,3.64,1.2,102,1.87,0.29,3,2.96,1547,3.3
17.2,13.63,2.7,7.3,2.91,1.28,112,1.81,0.3,2.88,1.46,1310,2.85
20,14.3,2.72,6.2,3.14,1.07,120,1.92,0.33,2.65,1.97,1280,2.8
20,13.83,2.62,6.6,3.4,1.13,115,1.57,0.4,2.57,1.72,1130,2.95
16.5,14.19,2.48,8.7,3.93,1.23,108,1.59,0.32,2.82,1.86,1680,3.3
15.2,13.64,2.56,5.1,3.03,0.96,116,3.1,0.17,3.36,1.66,845,2.7
16,14.06,2.28,5.65,3.17,1.09,126,1.63,0.24,3.71,2.1,780,3
18.6,12.93,2.65,4.5,2.41,1.03,102,3.8,0.25,3.52,1.98,770,2.41
16.6,13.71,2.36,3.8,2.88,1.11,101,1.86,0.27,4,1.69,1035,2.61
17.8,12.85,2.52,3.93,2.37,1.09,95,1.6,0.26,3.63,1.46,1015,2.48
20,13.5,2.61,3.52,2.61,1.12,96,1.81,0.28,3.82,1.66,845,2.53
25,13.05,3.22,3.58,2.68,1.13,124,2.05,0.47,3.2,1.92,830,2.63
16.1,13.39,2.62,4.8,2.94,0.92,93,1.77,0.34,3.22,1.45,1195,2.85
17,13.3,2.14,3.95,2.19,1.02,94,1.72,0.27,2.77,1.35,1285,2.4
19.4,13.87,2.8,4.5,2.97,1.25,107,1.9,0.37,3.4,1.76,915,2.95
16,14.02,2.21,4.7,2.33,1.04,96,1.68,0.26,3.59,1.98,1035,2.65
22.5,13.73,2.7,5.7,3.25,1.19,101,1.5,0.29,2.71,2.38,1285,3
19.1,13.58,2.36,6.9,3.19,1.09,106,1.66,0.22,2.88,1.95,1515,2.86
17.2,13.68,2.36,3.84,2.69,1.23,104,1.83,0.42,2.87,1.97,990,2.42
19.5,13.76,2.7,5.4,2.74,1.25,132,1.53,0.5,3,1.35,1235,2.95
19,13.51,2.65,4.2,2.53,1.1,110,1.8,0.29,2.87,1.54,1095,2.35
20.5,13.48,2.41,5.1,2.98,1.04,100,1.81,0.26,3.47,1.86,920,2.7
15.5,13.28,2.84,4.6,2.68,1.09,110,1.64,0.34,2.78,1.36,880,2.6
18,13.05,2.55,4.25,2.43,1.12,98,1.65,0.29,2.51,1.44,1105,2.45
15.5,13.07,2.1,3.7,2.64,1.18,98,1.5,0.28,2.69,1.37,1020,2.4
13.2,14.22,2.51,5.1,3.04,0.89,128,3.99,0.2,3.53,2.08,760,3
16.2,13.56,2.31,6.13,3.29,0.95,117,1.71,0.34,3.38,2.34,795,3.15
18.8,13.41,2.12,4.28,2.68,0.91,90,3.84,0.27,3,1.48,1035,2.45
15,13.88,2.59,5.43,3.56,0.88,101,1.89,0.17,3.56,1.7,1095,3.25
17.5,13.24,2.29,4.36,2.63,0.82,103,3.98,0.32,3,1.66,680,2.64
17,13.05,2.1,5.04,3,0.88,107,1.77,0.28,3.35,2.03,885,3
18.9,14.21,2.44,5.24,2.65,0.87,111,4.04,0.3,3.33,1.25,1080,2.85
16,14.38,2.28,4.9,3.17,1.04,102,3.59,0.27,3.44,2.19,1065,3.25
16,13.9,2.12,6.1,3.39,0.91,101,1.68,0.21,3.33,2.14,985,3.1
18.8,14.1,2.4,6.2,2.92,1.07,103,2.02,0.32,2.75,2.38,1060,2.75
17.4,13.94,2.27,8.9,3.54,1.12,108,1.73,0.32,3.1,2.08,1260,2.88
12.4,13.05,2.04,7.2,3.27,1.12,92,1.73,0.17,2.91,2.91,1150,2.72
17.2,13.83,2.6,5.6,2.99,1.24,94,1.65,0.22,3.37,2.29,1265,2.45
14,13.82,2.42,7.05,3.74,1.01,111,1.75,0.32,3.26,1.87,1190,3.88
17.1,13.77,2.68,6.3,2.79,1.13,115,1.9,0.39,2.93,1.68,1375,3
16.4,13.74,2.25,5.85,2.9,0.92,118,1.67,0.21,3.2,1.62,1060,2.6
20.5,13.56,2.46,6.25,2.78,0.98,116,1.73,0.2,3.03,2.45,1120,2.96
16.3,14.22,2.3,6.38,3,0.94,118,1.7,0.26,3.31,2.03,970,3.2
16.8,13.29,2.68,6,3.23,1.07,102,1.97,0.31,2.84,1.66,1270,3
16.7,13.72,2.5,6.8,3.67,0.89,108,1.43,0.19,2.87,2.04,1285,3.4
10.6,11.03,1.36,1.95,0.57,1.05,88,0.74,0.28,1.82,0.42,520,1.98
16,11.03,2.28,3.27,1.09,1.25,101,0.74,0.63,1.67,0.41,680,2.05
16.8,11.03,2.02,5.75,1.41,0.98,100,0.74,0.53,1.59,0.62,450,2.02
18,11.03,,3.8,1.79,1.23,94,1.25,0.32,2.46,0.73,630,2.1
19,11.03,,4.45,3.1,1.22,87,1.13,0.19,2.87,1.87,420,3.5
19,11.03,,2.95,1.75,1.45,104,1.45,0.45,2.23,1.03,355,1.89
30,11.03,2.56,4.6,2.65,1.19,98,1.21,0.37,2.3,2.08,678,2.42
30,11.03,1.7,5.3,3.18,1.12,78,1.01,0.26,3.18,2.28,502,2.98
30,11.03,1.92,4.68,2,1.12,78,1.17,0.27,3.48,1.04,510,2.11
17,11.03,2.36,3.17,,1.02,,0.94,,1.93,0.42,750,
16.8,12.21,1.75,2.85,1.28,1.28,151,1.19,0.14,3.07,2.5,718,1.85
20.4,12.29,2.21,3.05,1.02,0.906,103,1.61,0.37,1.82,1.46,870,1.1
25,13.86,2.67,3.38,2.86,1.36,86,1.51,0.21,3.16,1.87,410,2.95
24,13.49,2.24,3.74,1.84,0.98,87,1.66,0.27,2.78,1.03,472,1.88
30,12.99,2.6,3.35,2.89,1.31,139,1.67,0.21,3.5,1.96,985,3.3
21,11.96,2.3,3.21,2.14,0.99,101,1.09,0.13,3.13,1.65,886,3.38
16,11.66,1.92,3.8,1.57,1.23,97,1.88,0.34,2.14,1.15,428,1.61
16,13.03,1.71,4.6,2.03,1.19,86,0.9,0.24,2.48,1.46,392,1.95
18,11.84,2.23,2.65,1.32,0.96,112,2.89,0.43,2.52,0.95,500,1.72
14.8,12.33,1.95,3.4,1.85,1.06,136,0.99,0.35,2.31,2.76,750,1.9
23,12.7,2.4,2.57,2.55,1.19,101,3.87,0.43,3.13,1.95,463,2.83
19,12,2,2.5,2.26,1.38,86,0.92,0.3,3.12,1.43,278,2.42
18.8,12.72,2.2,3.9,2.53,1.16,86,1.81,0.26,3.14,1.77,714,2.2
24,12.08,2.51,2.2,1.58,1.31,78,1.13,0.4,2.72,1.4,630,2
22.5,13.05,2.32,4.8,1.59,0.84,85,3.86,0.61,2.01,1.62,515,1.65
18,11.84,2.58,3.05,2.21,0.79,94,0.89,0.22,3.08,2.35,520,2.2
18,12.67,2.24,2.62,1.94,1.23,99,0.98,0.3,3.16,1.46,450,2.2
22.8,12.16,2.31,2.45,1.69,1.33,90,1.61,0.43,2.26,1.56,495,1.78
26,11.65,2.62,2.6,1.61,1.36,88,1.67,0.4,3.21,1.34,562,1.92
21.6,11.64,2.46,2.8,1.69,1,84,2.06,0.48,2.75,1.35,680,1.95
23.6,12.08,2.3,1.74,1.59,1.07,70,1.33,0.42,3.21,1.38,625,2.2
18.5,12.08,2.32,2.4,1.5,1.08,81,1.83,0.52,2.27,1.64,480,1.6
22,12,2.42,3.6,1.25,1.05,86,1.51,0.5,2.65,1.63,450,1.45
20.7,12.69,2.26,3.05,1.46,0.96,80,1.53,0.58,2.06,1.62,495,1.38
18,12.29,2.22,2.15,2.25,1.15,88,2.83,0.25,3.3,1.99,290,2.45
18,11.62,2.28,3.25,2.26,1.16,98,1.99,0.17,2.96,1.35,345,3.02
19,12.47,2.2,2.6,2.27,1.16,162,1.52,0.32,2.63,3.28,937,2.5
21.5,11.81,2.74,2.5,0.99,0.95,134,2.12,0.14,2.26,1.56,625,1.6
16,12.29,1.98,2.9,2.5,1.23,85,1.41,0.29,2.74,1.77,428,2.55
18.5,12.37,2.1,4.5,3.75,1.04,88,1.07,0.24,2.77,1.95,660,3.52
18,12.29,2.21,2.3,2.99,1.42,88,3.17,0.45,2.83,2.81,406,2.85
17.5,12.08,1.7,3.3,2.17,1.27,97,2.08,0.26,2.96,1.4,710,2.23
